AGE,INCOME,MARRIED,GENDER,CAR_USE,CAR_VALUE,CAR_TYPE,PREV_CLAIMS_AMOUNT,PREV_CLAIMS_COUNT,REVOKED,POINTS,CAR_AGE,TARGET_CLAIM_MADE
49.0,49244.0,1,1,1,15880.0,0,0.0,0,0,1,1.0,0
36.0,130540.0,0,0,0,27200.0,0,0.0,0,0,0,9.0,0
52.0,51278.0,1,0,1,1500.0,3,0.0,0,0,1,10.0,0
41.0,92842.0,0,1,0,25810.0,1,1431.0,2,0,5,15.0,0
39.0,35081.0,1,1,0,16640.0,5,0.0,0,0,0,13.0,0
56.0,0.0,1,0,1,13220.0,0,0.0,0,0,0,12.0,0
49.0,115044.0,0,0,1,17900.0,0,0.0,0,0,0,14.0,0
38.0,37754.0,1,0,1,12080.0,3,0.0,0,0,2,9.0,0
43.0,145353.0,1,0,0,29450.0,5,0.0,0,0,0,15.0,0
50.0,167469.0,0,0,1,34150.0,4,0.0,0,0,3,1.0,0
63.0,121398.0,1,0,1,16270.0,3,0.0,0,0,0,11.0,0
52.0,0.0,0,0,0,9280.0,3,0.0,0,0,1,6.0,0
35.0,14508.0,1,1,0,6450.0,2,0.0,0,0,0,7.0,0
43.0,75338.0,1,0,1,23080.0,4,0.0,0,0,0,8.0,0
41.0,32774.0,0,0,1,20120.0,0,0.0,0,0,0,1.0,0
40.0,57474.0,1,1,0,29270.0,1,0.0,0,0,1,5.0,0
31.0,26520.0,1,1,0,4600.0,0,0.0,0,0,2,5.0,0
53.0,107259.0,1,1,1,29230.0,0,0.0,0,0,0,15.0,0
39.0,34046.0,1,0,1,4040.0,3,0.0,0,0,0,5.0,0
33.0,32364.0,1,1,1,12270.0,0,0.0,0,0,3,1.0,0
42.0,52988.0,1,1,0,23450.0,0,0.0,0,0,2,11.0,0
40.0,16989.0,0,1,0,12230.0,2,26104.0,1,1,13,6.0,1
41.0,17755.0,0,0,1,14480.0,0,0.0,0,1,2,1.0,0
36.0,56048.0,1,1,1,10700.0,0,2045.0,2,0,2,16.0,0
44.0,16352.0,1,0,1,10520.0,3,7838.0,1,0,1,1.0,1
56.0,44760.0,1,1,1,21770.0,0,0.0,0,0,0,6.0,0
45.0,63952.0,1,0,1,32340.0,5,27877.0,2,1,0,13.0,1
34.0,22510.0,1,1,1,14690.0,0,0.0,0,1,0,1.0,1
44.0,24060.0,0,1,1,14220.0,0,0.0,0,0,0,10.0,1
33.0,20822.0,1,0,1,6880.0,3,7896.0,3,0,0,1.0,1
32.0,54968.0,1,0,1,10040.0,3,0.0,0,1,0,8.0,0
34.0,14194.0,0,0,1,2920.0,4,24767.0,3,1,2,10.0,1
38.0,2149.0,1,0,1,22690.0,2,0.0,0,0,2,1.0,0
43.0,137103.0,0,0,1,19510.0,4,8890.0,3,0,0,15.0,1
46.0,79538.0,0,0,1,14050.0,0,0.0,0,1,2,11.0,0
45.0,185836.0,1,0,1,10250.0,3,4307.0,3,0,6,20.0,0
48.0,61509.0,1,1,0,23230.0,1,0.0,0,0,1,17.0,0
63.0,74426.0,0,0,1,27600.0,3,0.0,0,0,0,18.0,0
44.0,74722.0,1,0,1,23640.0,0,0.0,0,0,0,1.0,0
45.0,102393.0,0,1,1,1500.0,0,0.0,0,0,2,11.0,1
62.0,40656.0,1,0,1,9170.0,4,42342.0,2,1,2,7.0,1
35.0,29371.0,0,0,1,4860.0,4,0.0,0,0,0,1.0,0
48.0,31773.0,1,1,0,9640.0,2,1212.0,1,0,4,1.0,1
39.0,33727.0,0,0,1,10850.0,3,8350.0,1,0,2,12.0,0
49.0,0.0,1,0,1,6400.0,3,9115.0,1,0,6,14.0,0
44.0,139330.0,0,0,0,22050.0,4,0.0,0,0,0,1.0,0
50.0,163296.0,0,0,1,22830.0,0,0.0,0,0,0,14.0,0
30.0,17455.0,0,0,1,12380.0,0,0.0,0,0,0,6.0,0
54.0,71007.0,1,1,1,14000.0,0,0.0,0,0,0,11.0,0
38.0,0.0,1,1,0,17470.0,5,3157.0,2,0,5,6.0,0
53.0,38036.0,1,0,0,13140.0,3,0.0,0,0,4,1.0,1
53.0,41199.0,0,0,1,15360.0,3,0.0,0,0,0,8.0,0
29.0,38042.0,0,1,1,15160.0,0,0.0,0,0,0,1.0,0
55.0,45787.0,1,0,1,19380.0,0,0.0,0,0,0,13.0,0
55.0,84964.0,1,1,0,5760.0,2,969.0,2,0,6,11.0,0
39.0,0.0,1,0,1,8750.0,4,0.0,0,0,0,8.0,0
44.0,142588.0,1,1,1,21790.0,0,0.0,0,0,2,9.0,0
34.0,51565.0,0,1,1,18110.0,5,759.0,2,0,3,15.0,0
34.0,0.0,1,0,1,11740.0,3,1800.0,2,0,2,1.0,1
36.0,105384.0,1,1,1,13800.0,0,31695.0,3,1,4,17.0,0
41.0,66265.0,1,1,1,12230.0,0,0.0,0,0,1,9.0,1
45.0,32394.0,0,0,1,13770.0,3,0.0,0,0,0,1.0,0
42.0,76226.0,1,1,0,23390.0,1,0.0,0,0,0,14.0,0
38.0,7528.0,1,1,1,8080.0,2,0.0,0,0,0,8.0,0
33.0,0.0,0,1,0,15090.0,0,1631.0,1,0,2,5.0,1
42.0,32797.0,1,0,1,21690.0,0,0.0,0,0,2,14.0,0
47.0,44705.0,1,0,1,12840.0,3,1533.0,2,0,0,10.0,1
43.0,0.0,1,0,1,8350.0,3,0.0,0,0,3,7.0,0
52.0,68992.0,0,0,0,15120.0,0,0.0,0,0,3,10.0,0
43.0,132561.0,0,1,0,30150.0,1,12294.0,1,0,0,1.0,0
64.0,31738.0,1,1,0,14620.0,3,3994.0,2,0,0,1.0,1
66.0,96830.0,1,1,1,11180.0,3,0.0,0,0,0,16.0,0
60.0,125893.0,0,1,0,7500.0,2,7278.0,2,0,4,15.0,0
35.0,154577.0,0,0,1,20450.0,3,4645.0,1,0,3,1.0,0
52.0,64014.0,1,1,0,7900.0,2,8882.0,3,0,1,5.0,1
52.0,79348.0,1,0,1,13150.0,3,0.0,0,0,2,1.0,0
55.0,108152.0,1,0,1,12320.0,3,0.0,0,1,0,15.0,0
26.0,53244.0,0,1,0,20920.0,5,6224.0,1,0,1,8.0,1
61.0,41857.0,1,0,1,20870.0,4,0.0,0,0,0,21.0,0
41.0,126468.0,0,0,0,32690.0,2,0.0,0,0,2,18.0,1
40.0,75516.0,1,0,0,13050.0,4,0.0,0,1,0,6.0,0
52.0,76954.0,0,1,1,19540.0,0,0.0,0,1,0,11.0,0
58.0,150352.0,1,0,1,24240.0,2,0.0,0,0,0,17.0,0
52.0,88560.0,1,1,1,13630.0,0,0.0,0,0,4,17.0,0
38.0,37580.0,1,0,1,5260.0,3,867.0,2,0,0,1.0,1
41.0,23344.0,1,1,1,7930.0,2,0.0,0,0,1,1.0,1
37.0,43290.0,1,0,1,23640.0,3,0.0,0,0,0,10.0,0
48.0,48737.0,1,1,1,11220.0,2,0.0,0,0,1,1.0,0
47.0,64259.0,1,1,1,25100.0,0,9526.0,4,0,3,9.0,0
41.0,110386.0,1,1,0,16640.0,5,0.0,0,0,2,14.0,1
49.0,53765.0,0,0,1,12360.0,3,0.0,0,0,0,1.0,0
41.0,12541.0,0,1,1,7500.0,0,0.0,0,0,0,1.0,0
47.0,104271.0,1,1,0,36120.0,1,0.0,0,0,0,11.0,0
30.0,26226.0,1,0,1,23610.0,3,0.0,0,0,1,1.0,0
44.0,67278.0,1,0,1,20210.0,0,0.0,0,0,0,16.0,0
46.0,104990.0,0,0,1,16080.0,3,0.0,0,0,0,7.0,0
49.0,89948.0,0,0,1,18160.0,3,0.0,0,0,4,9.0,0
33.0,111427.0,1,0,0,28180.0,5,0.0,0,0,3,4.0,0
44.0,44790.0,1,0,0,19800.0,2,37163.0,1,0,4,9.0,0
62.0,107734.0,0,0,1,18470.0,3,0.0,0,0,0,15.0,0
42.0,0.0,0,1,0,5700.0,2,0.0,0,0,5,1.0,1
36.0,25282.0,0,0,1,11160.0,3,0.0,0,0,0,1.0,0
47.0,18549.0,1,1,1,12800.0,0,0.0,0,0,0,14.0,0
51.0,50166.0,0,1,0,11620.0,2,50701.0,3,1,0,1.0,0
46.0,73872.0,1,0,1,20240.0,4,0.0,0,0,0,16.0,0
50.0,73343.0,1,0,1,20010.0,0,4179.0,2,0,4,8.0,0
43.0,49849.0,0,0,1,13130.0,3,3622.0,3,0,4,20.0,1
39.0,12054.0,1,0,0,15760.0,2,1738.0,2,1,4,1.0,1
43.0,48184.0,1,0,0,14530.0,4,6891.0,2,0,5,1.0,0
60.0,78936.0,1,0,1,20350.0,3,0.0,0,0,0,15.0,1
55.0,0.0,0,1,1,7000.0,2,0.0,0,0,0,1.0,0
40.0,78914.0,0,0,1,5500.0,3,6803.0,2,0,6,10.0,0
39.0,77125.0,1,0,1,9570.0,4,0.0,0,0,1,13.0,0
49.0,38326.0,1,1,1,10230.0,2,0.0,0,0,0,17.0,0
38.0,25835.0,1,1,1,8490.0,2,0.0,0,0,1,12.0,0
42.0,47660.0,1,1,1,11940.0,2,974.0,2,0,6,18.0,0
42.0,123143.0,0,0,1,24930.0,0,0.0,0,0,3,14.0,0
49.0,22059.0,1,0,0,21990.0,2,0.0,0,0,1,1.0,0
36.0,50750.0,0,0,1,10170.0,3,5877.0,3,0,7,14.0,0
34.0,23571.0,0,1,0,12180.0,2,0.0,0,0,0,7.0,0
49.0,0.0,1,0,1,18110.0,3,0.0,0,0,1,1.0,0
52.0,35631.0,1,1,1,6040.0,0,0.0,0,0,0,1.0,0
55.0,55409.0,1,1,0,27890.0,1,0.0,0,0,0,14.0,0
40.0,35260.0,1,0,1,9740.0,3,2235.0,1,0,8,1.0,0
40.0,48067.0,0,0,1,18120.0,0,0.0,0,0,0,8.0,0
45.0,64867.0,1,0,1,12490.0,3,0.0,0,0,0,10.0,0
80.0,97716.0,1,1,1,15920.0,0,0.0,0,0,2,10.0,0
48.0,39613.0,1,1,0,8460.0,2,7437.0,2,0,6,1.0,0
40.0,49780.0,0,0,1,10500.0,4,0.0,0,0,0,1.0,0
26.0,33283.0,1,1,0,7690.0,2,0.0,0,0,2,16.0,1
45.0,60845.0,0,0,1,24260.0,0,0.0,0,0,0,18.0,0
46.0,26697.0,1,0,1,15080.0,3,0.0,0,1,4,1.0,0
42.0,136344.0,0,0,1,13160.0,4,0.0,0,0,0,17.0,1
36.0,70313.0,1,0,1,14960.0,0,7650.0,3,0,5,4.0,0
45.0,23773.0,0,0,0,34510.0,5,0.0,0,0,0,1.0,0
52.0,115713.0,0,0,1,21660.0,4,0.0,0,0,0,11.0,0
41.0,55364.0,0,1,0,31390.0,1,0.0,0,0,3,1.0,0
36.0,27693.0,1,0,1,11300.0,4,19385.0,1,0,4,7.0,0
56.0,0.0,1,0,1,27890.0,3,25147.0,2,0,0,9.0,0
53.0,0.0,1,0,1,1500.0,4,1175.0,3,0,2,7.0,0
39.0,32936.0,0,0,1,1500.0,3,0.0,0,0,0,7.0,1
38.0,33151.0,1,0,1,11530.0,3,0.0,0,0,0,9.0,0
45.0,0.0,0,1,1,16510.0,0,17445.0,3,1,0,1.0,1
46.0,24575.0,1,0,1,8560.0,4,0.0,0,0,0,9.0,0
43.0,32546.0,1,1,1,5800.0,0,0.0,0,0,1,5.0,0
54.0,0.0,0,0,1,18820.0,3,5537.0,1,0,6,9.0,0
55.0,163158.0,1,1,0,23320.0,1,0.0,0,0,3,19.0,0
61.0,58212.0,1,0,1,13420.0,4,3573.0,3,0,3,1.0,0
50.0,73308.0,0,1,1,18720.0,5,0.0,0,0,2,19.0,0
62.0,22181.0,0,0,1,17880.0,4,9873.0,3,0,5,1.0,1
53.0,84345.0,1,0,1,9930.0,3,0.0,0,0,3,5.0,1
54.0,107808.0,1,0,0,27020.0,2,1780.0,3,0,0,6.0,0
53.0,52759.0,1,0,1,24160.0,0,0.0,0,0,0,13.0,0
39.0,59685.0,1,1,0,7470.0,2,0.0,0,0,0,1.0,0
38.0,90647.0,1,0,1,13740.0,0,8450.0,1,0,0,15.0,0
42.0,43174.0,0,1,0,10020.0,2,0.0,0,0,0,1.0,1
31.0,30653.0,0,0,1,12930.0,4,35666.0,2,1,0,7.0,1
44.0,146267.0,1,1,0,6720.0,2,0.0,0,0,0,10.0,0
41.0,0.0,0,0,1,32090.0,0,0.0,0,0,0,17.0,0
48.0,84629.0,1,0,1,15060.0,3,9592.0,1,0,0,10.0,0
49.0,59148.0,1,0,1,12310.0,3,8948.0,1,0,0,1.0,0
45.0,111268.0,1,0,1,24600.0,5,28026.0,2,1,2,10.0,1
47.0,81899.0,0,1,1,14390.0,0,0.0,0,0,0,1.0,0
41.0,97700.0,0,0,1,26250.0,2,0.0,0,0,0,6.0,0
45.0,1158.0,1,0,0,6120.0,3,0.0,0,0,0,1.0,0
53.0,114088.0,1,0,1,22920.0,2,0.0,0,0,0,8.0,0
51.0,80621.0,1,0,1,25700.0,5,0.0,0,0,0,1.0,0
51.0,94328.0,1,0,1,6900.0,4,0.0,0,0,0,1.0,0
36.0,49703.0,0,1,0,42550.0,1,35879.0,1,1,0,20.0,1
53.0,25289.0,1,0,1,13850.0,3,0.0,0,0,0,7.0,1
40.0,95405.0,0,1,0,24220.0,1,0.0,0,0,3,14.0,0
31.0,26112.0,1,0,1,14030.0,3,0.0,0,0,0,5.0,1
32.0,30955.0,0,0,1,7800.0,3,0.0,0,1,0,8.0,1
58.0,131560.0,0,0,1,14870.0,3,0.0,0,0,2,14.0,1
49.0,89612.0,1,1,0,6400.0,2,0.0,0,0,0,23.0,0
50.0,90566.0,0,0,1,23260.0,5,0.0,0,0,0,18.0,0
45.0,62447.0,0,1,0,12240.0,0,0.0,0,0,0,1.0,0
46.0,108701.0,1,0,1,12070.0,3,0.0,0,0,0,17.0,0
47.0,94774.0,0,1,0,21070.0,5,3460.0,1,0,1,13.0,0
43.0,72357.0,1,1,0,23190.0,0,0.0,0,0,0,7.0,0
41.0,80718.0,0,0,1,26480.0,4,8623.0,3,0,5,8.0,0
48.0,140112.0,0,0,0,28380.0,2,0.0,0,0,2,17.0,0
39.0,19016.0,0,1,0,10950.0,2,0.0,0,0,0,8.0,0
49.0,0.0,0,0,1,19810.0,0,0.0,0,0,1,1.0,0
45.0,19909.0,1,0,1,7990.0,4,0.0,0,0,0,1.0,0
36.0,4885.0,1,0,1,7080.0,3,5486.0,1,0,5,17.0,0
59.0,119382.0,0,0,0,24130.0,2,0.0,0,0,0,16.0,1
60.0,89511.0,1,1,0,11380.0,2,4470.0,3,0,0,15.0,0
45.0,36947.0,1,0,1,6200.0,3,0.0,0,0,0,1.0,0
34.0,27581.0,0,1,0,12250.0,0,0.0,0,0,6,5.0,0
33.0,86187.0,0,1,1,13420.0,0,0.0,0,0,1,5.0,0
52.0,42255.0,0,1,0,22280.0,0,0.0,0,0,1,12.0,0
53.0,37646.0,1,0,1,16020.0,3,7462.0,2,0,0,10.0,0
37.0,116043.0,0,0,1,16800.0,3,0.0,0,0,3,9.0,0
45.0,89479.0,1,1,1,14950.0,0,0.0,0,0,0,8.0,0
38.0,92917.0,0,1,1,15120.0,0,722.0,3,0,0,4.0,0
36.0,29741.0,0,0,1,8070.0,3,2797.0,2,0,0,7.0,0
51.0,3673.0,1,1,0,11180.0,2,0.0,0,0,0,1.0,0
39.0,61370.0,0,1,0,21770.0,5,35577.0,3,1,0,12.0,1
51.0,32159.0,0,0,1,2600.0,3,0.0,0,1,2,6.0,0
40.0,20126.0,0,0,1,8260.0,3,0.0,0,0,0,1.0,0
54.0,44782.0,0,0,1,30260.0,3,0.0,0,0,0,9.0,1
34.0,59828.0,0,0,0,10880.0,3,0.0,0,0,0,13.0,0
41.0,74022.0,1,0,1,13000.0,4,4418.0,1,0,0,12.0,0
36.0,80256.0,1,1,0,14860.0,0,2592.0,4,0,1,15.0,0
55.0,6094.0,1,1,0,22770.0,1,2631.0,1,0,1,1.0,0
45.0,0.0,1,0,1,14300.0,0,9062.0,1,0,1,11.0,0
45.0,30085.0,1,1,0,7200.0,2,0.0,0,1,3,8.0,1
50.0,80241.0,0,0,1,14520.0,2,7628.0,2,0,7,11.0,0
44.0,46140.0,1,1,0,10510.0,2,4276.0,3,0,7,1.0,1
55.0,55673.0,1,0,0,27400.0,5,0.0,0,0,0,13.0,0
44.0,32317.0,0,1,1,22450.0,0,3738.0,1,0,8,1.0,1
50.0,58762.0,0,1,1,13320.0,0,5253.0,3,0,0,8.0,0
60.0,76899.0,1,1,1,7900.0,4,45574.0,3,1,0,14.0,0
40.0,48640.0,0,1,0,10360.0,2,0.0,0,0,0,4.0,0
57.0,78592.0,1,0,0,15760.0,4,9462.0,3,0,0,8.0,0
47.0,80105.0,0,1,1,14210.0,0,0.0,0,0,1,12.0,0
64.0,61521.0,1,0,1,7650.0,4,0.0,0,0,8,9.0,1
34.0,105554.0,0,1,1,5300.0,0,7504.0,2,0,2,20.0,1
52.0,147666.0,1,0,1,6700.0,3,0.0,0,0,0,17.0,0
42.0,69290.0,0,1,0,23900.0,1,1052.0,2,0,1,11.0,1
41.0,78675.0,0,1,0,13470.0,0,0.0,0,0,0,3.0,0
54.0,105762.0,0,1,1,17480.0,0,0.0,0,1,2,18.0,0
42.0,79185.0,1,0,1,13020.0,3,6689.0,1,0,5,1.0,0
56.0,111702.0,0,0,1,18270.0,3,0.0,0,0,0,17.0,0
50.0,219024.0,0,1,0,23370.0,1,4117.0,2,0,4,20.0,0
51.0,55573.0,0,0,1,12160.0,3,9768.0,1,0,6,14.0,0
53.0,61862.0,1,1,1,11270.0,2,0.0,0,0,0,14.0,1
35.0,13760.0,0,0,0,7700.0,3,10177.0,2,0,3,1.0,0
54.0,88668.0,1,0,1,20090.0,0,10520.0,2,0,1,14.0,1
50.0,2657.0,1,0,1,10480.0,4,20452.0,2,1,2,11.0,1
29.0,51122.0,1,0,0,10470.0,3,19030.0,3,1,9,9.0,0
32.0,21944.0,1,0,1,7270.0,3,0.0,0,1,1,1.0,0
44.0,0.0,1,0,1,14190.0,4,35430.0,2,1,2,8.0,0
38.0,83937.0,1,0,0,13800.0,3,10851.0,2,0,0,10.0,0
37.0,96188.0,0,0,1,13340.0,3,0.0,0,1,1,10.0,0
55.0,17820.0,1,0,1,13340.0,3,6913.0,1,0,3,8.0,0
51.0,62894.0,1,0,1,5990.0,4,0.0,0,1,0,10.0,0
42.0,68090.0,0,0,0,11750.0,0,9261.0,1,0,3,12.0,1
45.0,25032.0,0,0,0,6100.0,2,5771.0,1,0,5,1.0,1
54.0,52078.0,1,1,0,23250.0,1,5039.0,1,0,4,18.0,1
48.0,42008.0,1,0,1,10000.0,3,0.0,0,0,0,14.0,0
54.0,90149.0,1,0,1,15910.0,3,0.0,0,0,1,10.0,0
48.0,22633.0,1,0,1,16730.0,3,0.0,0,0,0,9.0,0
50.0,0.0,1,1,1,4980.0,0,0.0,0,0,0,1.0,0
25.0,51544.0,0,0,0,20630.0,3,7767.0,2,0,8,1.0,1
55.0,75249.0,0,1,0,17020.0,5,1316.0,2,0,1,21.0,1
35.0,72389.0,0,0,1,13440.0,0,8185.0,4,0,2,10.0,0
29.0,73842.0,0,0,0,22340.0,4,4769.0,1,0,4,1.0,1
45.0,0.0,0,1,1,6000.0,2,41818.0,1,1,3,1.0,1
56.0,109521.0,1,1,0,7100.0,2,0.0,0,0,2,17.0,0
45.0,71969.0,0,0,1,13060.0,3,0.0,0,0,0,1.0,0
51.0,117016.0,0,0,1,20320.0,0,1197.0,2,0,6,8.0,0
52.0,37295.0,0,1,0,6700.0,2,0.0,0,0,0,1.0,0
40.0,50224.0,0,1,0,13780.0,0,1937.0,2,0,6,5.0,0
41.0,109957.0,1,0,1,29470.0,4,0.0,0,0,1,18.0,1
44.0,44141.0,1,1,1,5900.0,2,7401.0,1,0,0,0.0,0
54.0,30388.0,0,1,1,16580.0,5,27130.0,2,0,0,13.0,0
42.0,85752.0,1,1,0,5700.0,2,0.0,0,0,2,19.0,0
50.0,8345.0,1,1,1,15330.0,0,0.0,0,0,0,5.0,0
38.0,10486.0,1,1,1,6350.0,0,5702.0,1,0,4,5.0,1
36.0,33284.0,1,0,0,14640.0,3,0.0,0,0,0,10.0,0
62.0,33713.0,1,0,0,23470.0,4,41913.0,3,1,0,15.0,1
47.0,76462.0,1,1,1,13850.0,0,0.0,0,0,0,7.0,0
47.0,144957.0,0,0,1,24120.0,3,0.0,0,0,4,1.0,0
46.0,79317.0,1,1,1,6100.0,2,4263.0,2,0,7,6.0,0
42.0,64705.0,0,1,0,22560.0,1,10375.0,4,0,6,19.0,0
44.0,0.0,1,0,1,2640.0,4,2219.0,2,0,1,13.0,0
36.0,20891.0,1,0,0,5100.0,3,2949.0,2,0,9,7.0,1
33.0,0.0,1,1,1,10160.0,2,8118.0,1,0,3,1.0,0
35.0,17493.0,0,0,1,19340.0,0,5658.0,3,0,7,1.0,1
45.0,94325.0,1,1,1,6960.0,3,0.0,0,0,2,14.0,1
55.0,72337.0,1,1,0,22980.0,1,0.0,0,0,2,11.0,0
41.0,157237.0,0,0,1,17410.0,0,0.0,0,0,0,15.0,0
40.0,5322.0,1,0,0,9960.0,2,5489.0,1,0,3,1.0,0
43.0,39848.0,0,0,1,18060.0,3,0.0,0,0,0,15.0,0
42.0,117978.0,0,0,0,28700.0,3,0.0,0,0,0,7.0,0
57.0,51737.0,1,0,1,17440.0,3,0.0,0,1,1,11.0,0
56.0,62483.0,1,0,1,20940.0,0,0.0,0,0,0,8.0,0
64.0,38020.0,1,1,0,28710.0,2,0.0,0,0,0,3.0,1
32.0,60050.0,0,0,1,11480.0,0,17493.0,4,1,2,1.0,1
37.0,97266.0,0,0,0,14930.0,0,4048.0,2,0,0,11.0,0
45.0,19793.0,1,0,1,7980.0,3,0.0,0,1,0,5.0,0
39.0,73367.0,0,1,1,12740.0,0,3320.0,1,0,4,7.0,0
32.0,4478.0,0,0,1,6780.0,3,7181.0,3,0,5,8.0,1
44.0,5952.0,1,1,0,6500.0,2,0.0,0,0,0,10.0,0
39.0,50875.0,1,0,0,14100.0,4,0.0,0,0,3,1.0,0
41.0,32057.0,1,0,1,9800.0,3,0.0,0,0,0,1.0,0
35.0,62036.0,1,1,0,16370.0,5,3913.0,2,0,7,1.0,1
64.0,40528.0,1,0,0,11950.0,4,5137.0,1,0,6,6.0,1
46.0,266027.0,0,1,0,34020.0,1,1332.0,3,0,6,23.0,0
59.0,158703.0,0,0,1,20540.0,3,0.0,0,0,0,18.0,0
44.0,75046.0,1,1,0,9000.0,2,3288.0,3,0,6,10.0,1
40.0,39600.0,0,0,1,5460.0,4,4188.0,2,0,5,1.0,1
43.0,67109.0,1,0,0,8530.0,3,0.0,0,0,0,1.0,0
48.0,75723.0,1,0,1,7210.0,0,0.0,0,0,0,12.0,0
38.0,75432.0,0,0,1,16260.0,3,8035.0,3,0,0,13.0,1
48.0,0.0,1,1,1,6520.0,0,0.0,0,1,0,1.0,0
59.0,186632.0,1,1,1,21730.0,5,0.0,0,0,2,13.0,0
43.0,97103.0,0,0,1,17960.0,3,3575.0,1,0,4,15.0,0
43.0,0.0,0,0,1,14240.0,3,0.0,0,0,1,1.0,1
55.0,0.0,1,0,1,8560.0,4,3769.0,2,0,5,14.0,1
35.0,64872.0,1,0,1,11490.0,3,0.0,0,0,3,8.0,0
54.0,10617.0,1,1,0,7960.0,2,1079.0,2,0,2,9.0,1
35.0,33799.0,1,0,1,13420.0,3,8174.0,2,0,9,1.0,0
46.0,140766.0,0,1,0,29220.0,1,0.0,0,0,1,13.0,1
26.0,0.0,1,0,0,4100.0,4,11279.0,3,0,5,6.0,1
43.0,46224.0,1,1,0,11510.0,2,0.0,0,1,0,10.0,1
43.0,91877.0,0,0,1,26290.0,4,0.0,0,1,2,18.0,0
54.0,193895.0,1,0,1,9060.0,3,3400.0,3,0,0,15.0,0
55.0,66964.0,0,1,1,13700.0,0,6183.0,3,0,3,18.0,0
45.0,0.0,0,1,0,26500.0,1,0.0,0,0,2,8.0,0
42.0,34210.0,1,1,1,12880.0,0,1830.0,1,0,0,1.0,1
46.0,31177.0,0,1,0,25420.0,1,0.0,0,0,1,1.0,1
47.0,28654.0,0,1,0,9070.0,2,0.0,0,0,3,8.0,0
45.0,107327.0,0,0,1,18540.0,3,0.0,0,0,2,9.0,0
55.0,45918.0,1,0,1,11590.0,4,3614.0,2,0,0,1.0,0
43.0,24124.0,1,0,1,8140.0,3,0.0,0,0,0,1.0,0
53.0,106830.0,0,1,1,17480.0,0,0.0,0,0,0,7.0,0
49.0,33322.0,0,0,0,21320.0,3,36556.0,1,0,4,10.0,0
47.0,15249.0,1,0,1,8400.0,4,0.0,0,0,1,15.0,0
41.0,38034.0,1,0,1,11300.0,3,5299.0,1,0,2,1.0,0
49.0,95156.0,1,1,0,9720.0,2,5645.0,3,0,0,15.0,0
44.0,39852.0,1,0,0,7410.0,3,3704.0,2,0,0,6.0,0
31.0,110404.0,1,0,0,13710.0,2,0.0,0,0,2,14.0,0
51.0,65702.0,0,0,1,15820.0,3,7181.0,2,0,3,1.0,1
